rain_1h,rain_24h,rain_72h,api_14d,soil_moisture,slope,soil_depth,rock_strength,ndvi,drainage,seismic_zone,road_cut,pore_pressure,ground_tilt,displacement_rate,risk
1.3539,24.3796,67.216,143.9584,26.2209,35.4377,3.0198,4.0919,0.4744,2.5643,5,0.379,22.5249,0.2158,0.8496,0
11.0825,27.5583,59.1008,120.2111,27.5045,24.6801,4.2726,4.4062,0.4829,2.1812,5,0.6878,31.6624,0.3626,0.8042,0
6.8674,79.8358,185.8025,298.5347,31.5375,39.0036,3.0106,4.0541,0.6666,2.7405,5,0.5174,28.9532,0.2942,0.7939,2
18.0399,54.7943,99.632,142.667,27.7276,40.5245,3.7195,3.9965,0.6951,1.8933,5,0.8659,17.5391,0.3094,0.5215,1
0.994,6.8503,7.6772,9.953,19.9074,17.3917,3.2871,3.4669,0.8256,2.8247,5,0.513,14.6488,0.9333,0.7807,0
8.415,36.2444,51.4008,73.9858,25.9164,22.5826,3.44,3.2071,0.4777,2.5907,5,0.9701,13.3637,1.3108,0.2896,1
6.8378,21.4488,60.0343,68.0892,29.184,34.0227,3.4837,5.3994,0.8287,1.2564,4,0.7919,22.4591,0.4815,1.0672,0
18.0034,40.5006,41.7814,75.1742,26.8718,30.4701,2.9989,2.6209,0.5662,2.7159,4,0.9726,23.0964,0.2951,1.0841,1
5.456,12.412,25.0198,27.5807,14.043,32.8656,2.2933,4.2813,0.6103,3.619,5,0.6931,9.1251,0.1608,0.6734,0
4.03,19.3074,30.6874,49.941,21.7715,26.1756,4.0895,4.2359,0.5848,2.541,4,0.6085,19.3371,0.0184,0.0719,0
1.0027,19.1087,42.6647,36.0856,24.9053,40.0352,4.8342,4.2531,0.6329,2.7079,5,0.7832,16.3206,0.4902,2.1505,1
42.9909,169.8163,477.2952,643.0075,60.417,39.2223,4.8933,4.9649,0.6906,2.1712,5,0.6861,69.1176,0.9087,3.9877,3
25.4627,75.8641,153.7272,294.4103,24.6837,33.5282,2.9021,3.9293,0.7349,4.024,4,0.6938,17.6212,0.561,0.5033,0
6.5237,14.5743,30.4197,21.4352,16.6933,42.0179,2.7401,4.953,0.5682,3.9465,5,0.9457,15.4446,0.2345,1.1834,0
3.5741,40.3551,42.3852,69.1066,13.1664,36.7401,2.9011,6.2859,0.6115,3.6406,5,0.525,10.7987,0.3339,2.7516,0
29.6685,103.8943,283.7876,280.9049,34.4649,26.1257,3.2417,4.1478,0.4816,3.8595,5,0.7943,26.622,0.0819,0.5931,2
14.4482,43.3899,113.3503,101.8276,27.1249,35.95,3.3528,2.268,0.6881,2.0712,5,0.9056,11.0298,0.3253,0.5245,1
8.1027,31.6867,68.6368,72.2476,23.3831,25.3289,2.5019,4.1575,0.6346,1.8384,5,0.6361,14.4028,0.4466,0.764,0
8.0549,29.8472,72.035,126.5609,15.55,40.0276,2.0682,4.0592,0.499,4.3022,4,1.0,6.7709,0.0838,1.0946,0
11.9553,48.8186,51.397,49.6156,33.322,32.6006,3.4449,4.702,0.4384,2.5035,5,0.4065,20.2662,0.024,0.0328,0
22.7875,51.579,63.765,38.7089,28.2598,31.5211,0.8,2.3059,0.6209,2.103,4,0.6375,14.8551,0.3124,1.9997,1
2.5383,13.6786,21.9195,24.2723,25.8333,27.5526,3.3094,4.6245,0.7698,2.8782,4,0.5598,15.9084,0.7875,0.5382,0
5.6287,45.6437,65.3098,104.0998,25.429,42.7803,2.5497,3.8786,0.8062,1.9292,4,0.3592,20.0814,0.0324,0.1803,0
15.2259,54.0092,108.4704,197.9983,36.6416,31.7638,4.1021,5.1027,0.4318,2.7587,5,0.8517,29.4306,0.2631,0.1421,1
7.3001,38.9758,100.8984,94.811,18.4202,29.5734,4.3429,3.7815,0.7215,2.1043,5,0.9517,20.9971,0.0782,2.8881,1
7.8143,27.5898,48.2773,75.7125,19.6432,30.1829,4.3641,5.168,0.7037,3.1434,4,0.8107,27.225,0.017,0.2859,0
37.918,101.1812,254.3646,272.6601,46.672,37.2585,3.0882,2.7893,0.78,2.0761,4,0.8733,39.1399,0.7713,2.5669,3
2.2891,41.3511,54.4362,61.8878,22.507,35.9236,2.3784,4.3178,0.6618,1.8889,5,0.7173,25.8592,0.2357,1.0045,0
3.1918,61.4574,130.4649,183.244,28.9306,36.3019,2.6669,3.3282,0.5565,2.0361,4,0.4359,23.4784,0.0415,0.0115,0
12.6932,69.3323,142.3546,129.0582,37.6709,36.4466,3.6588,3.8119,0.7022,2.8017,5,0.6031,30.3823,0.8765,0.5065,1
5.8364,28.2598,45.7819,96.7619,28.608,50.1332,1.9187,7.0201,0.265,2.2295,5,0.698,13.5995,0.1875,1.1549,0
7.1111,30.6824,78.4862,60.9848,24.1772,29.7487,4.6542,3.3504,0.4711,3.1276,4,0.6246,30.5641,0.1752,0.4544,0
2.0358,16.6917,40.0049,24.194,23.549,28.9021,3.1024,3.9274,0.487,2.5807,4,0.8426,20.3687,0.2527,0.3692,0
36.0568,107.8878,149.6687,225.4498,33.215,26.4898,3.8502,3.1563,0.5126,2.9684,5,0.3018,25.7913,0.0774,0.7463,1
6.8358,58.678,86.3904,115.6005,32.6988,37.9278,1.7967,3.993,0.4024,2.0334,5,1.0,25.614,0.5438,3.8599,1
